159,Pandamonium,785.85,mixed
160,Spoiler Alert,785.69,mixed
161,DR,784.62,mixed
162,Room Temperature,774.87,mixed
163,Sunken Circus,771.74,mixed
164,Espionage,771.56,mixed
165,Prion,761.72,mixed
166,"All Jeeps, All Night.",761.62,mixed
167,Indiana Pterodactyl Attack,747.33,mixed
168,Default,741.36,mixed
169,Octonauts,731.99,mixed
170,Boomtown Pandas,727.04,mixed
171,Happy Hour,702.88,mixed
172,Choco Ghost House,690.8,mixed
173,Nebula,681.68,mixed
174,BOP,676.72,mixed
175,Philly Twist,655.55,mixed
176,The Force,651.87,mixed
177,District Cocktails,649.62,mixed
178,Eat Lightning,649.39,mixed
179,Frostbite,646.15,mixed
180,Fishpix!,635.61,mixed
181,VU,630.66,mixed
182,Melt,620.06,mixed
183,Starfire,602.97,mixed
184,Crucible,600.41,mixed
185,Run Like The Wind,584.2,mixed
186,2Fly2Furious,581.62,mixed
187,Oasis Ultimate,578.34,mixed
188,Fable,573.54,mixed
189,Great Minnesota Get Together,566.89,mixed
190,Rainbow,565.25,mixed
191,Mola Mola,562.52,mixed
192,Drip,561.34,mixed
193,Celebrities of Ultimate,560.19,mixed
194,Thunderpants the Magic Dragon,556.64,mixed
195,Swampbenders,548.56,mixed
196,Beached Whales,542.38,mixed
197,Springs Mixed Greens,541.33,mixed
198,Breakers Mark,539.79,mixed
199,MoonPi,531.91,mixed
200,Pixel,524.78,mixed
201,Spice,523.93,mixed
202,Air Throwmads,515.63,mixed
203,Locomotion,513.55,mixed
204,New Orleans Boil,504.14,mixed
205,Surge,492.97,mixed
206,Quahogs,480.8,mixed
207,Buffalo Brain Freeze,479.62,mixed
208,Piedmont United,469.97,mixed
209,Mastodon,463.36,mixed
210,ELevate,452.38,mixed
211,Lake Superior Disc,446.79,mixed
212,Chalice,444.91,mixed
213,Milk,427.35,mixed
214,Deep Cut,426.05,mixed
215,Quails,419.03,mixed
216,Brooklyn Hive,405.07,mixed
217,Compost Plates,402.26,mixed
217,Rocket,400.35,mixed
218,Sugar Shack,397.47,mixed
219,Flood Zone,376.91,mixed
220,Hairy Otter,375.26,mixed
221,Replay,358.97,mixed
222,LRU,339.9,mixed
223,Electric Eyebrows,338.47,mixed
224,Moonlight Ultimate,327.66,mixed
225,Arms Race,322.21,mixed
226,Dinosaur Fancy,321.78,mixed
227,The Incidentals,313.98,mixed
228,Scoober Heroes,310.05,mixed
229,Night Cap,294.9,mixed
230,Birds of Paradise,265.05,mixed
231,POW!,259.66,mixed
232,Boston Practice Squad,254.63,mixed
233,Equinox,246.42,mixed
234,Voltage,241.9,mixed
235,Ca$h Cow$,236.54,mixed
236,Mad City Vibes,233.02,mixed
237,Rampage,203.33,mixed
238,Victrix,174.15,mixed
239,Central Arkansas Surge,170,mixed
240,SkyLab,142.38,mixed
241,PanIC,141.8,mixed
242,Ultra Instinct,110.9,mixed
243,NYWT,103.75,mixed
244,Underdogs,84.14,mixed
245,Vintage Ultimate Club,72.48,mixed
246,Lightning,45.5,mixed
247,Erosion,35.95,mixed
248,Pickles,26.54,mixed
249,Midnight Nut Busters,-24.22,mixed
250,Vanguard and Friends,-121.06,mixed
251,Trophic Cascade,-221.83,mixed
252,Pumphouse,-246.06,mixed
252,Altitude [B],-268.35,mixed
252,Kenyon College [Upper],-268.35,mixed
