197,texas united,697.04,open
198,capitol city chaos,696.2,open
199,fresno firefall,694.41,open
200,rochester open club,682.18,open
201,trident iii,676.49,open
202,spring break '93,660.13,open
203,shrimp discs,652.03,open
204,loaded panda,642.29,open
205,on ramp,640.19,open
206,rebels,613.29,open
207,villains,599.94,open
208,grit,590.49,open
209,long island riff raff,589.54,open
210,oakay,583.18,open
211,ursa,575.38,open
211,you need to calm down,568.77,open
212,hardta spelots,567.43,open
213,stag,558.46,open
213,impulse,549.09,open
214,meadowlark,548.73,open
215,ez,548.4,open
216,exhaust pipe,534.16,open
217,psychedelic,532.96,open
218,supercell,532.83,open
219,the body,531.59,open
220,las vegas nuke,525.05,open
220,flying pig,522.91,open
221,lafayette street dogs,519.61,open
222,rgv tlacuaches,506.77,open
223,beef depot,492.48,open
224,mycellium,490.07,open
225,forge,488.24,open
226,buffalo frostbite,486.54,open
227,brackish,477.16,open
228,mischief,466.63,open
229,riverside messengers-b,451.74,open
230,bartle boys,430.92,open
231,madhouse,423.21,open
232,orcats,413.62,open
233,bemo,410.9,open
234,marc,402.7,open
234,ycc u20 developmental team,388.43,open
235,adelphos,374.59,open
236,spin doctors,370.91,open
237,arkansas,368.8,open
238,mohawk valley wild,327.36,open
239,8-bit defenders,308.71,open
240,bonsoon,250.91,open
241,middleton high school,249.82,open
242,monsoon,247.9,open
243,bazooka 2: the zookening,234.53,open
244,wooder,220.17,open
245,milwaukee revival,200.48,open
246,army-west point,171.41,open
247,bloomin' reptars,155.4,open
248,power point ultimate,137.63,open
249,triiident,123.04,open
250,rotisserie chicken,108.04,open
251,throwing shade,50.89,open
252,deepfake,49.62,open
253,scoop,48.49,open
254,adventure time,-33.24,open
254,sonoran pups,-74.97,open
255,dreadnought: battleship [b],-75.26,open
255,clubm - mesa,-75.26,open
252,Pumphouse,-246.06,mixed
252,Altitude [B],-268.35,mixed
252,Kenyon College [Upper],-268.35,mixed
